feature,frequency,rank,docfreq,group
fornybar,2175,1,1494,all
energi,1429,2,981,all
<c3><a5>,1190,3,851,all
p<c3><a5>,992,4,758,all
fornybare,441,5,369,all
kraft,412,6,334,all
norge,360,7,309,all
ogs<c3><a5>,318,8,294,all
m<c3><a5>,302,9,251,all
<e2><80><93>,203,10,170,all
f<c3><a5>,180,11,164,all
ny,179,12,156,all
n<c3><a5>,173,13,159,all
viktig,172,14,154,all
fornybardirektivet,168,15,111,all
v<c3><a6>re,162,16,145,all
s<c3><a5>,149,17,138,all
bygge,147,18,130,all
n<c3><a5>r,145,19,130,all
norsk,143,20,116,all
fossil,138,21,123,all
fornybart,138,21,124,all
b<c3><a5>de,136,23,135,all
trenger,134,24,116,all
utbygging,128,25,111,all
regjeringen,122,26,116,all
europa,114,27,95,all
tilgang,108,28,100,all
kommer,105,29,92,all
mye,105,29,97,all
store,103,31,97,all
nye,101,32,95,all
olje,101,32,90,all
f<c3><a5>r,98,34,95,all
industri,92,35,89,all
veldig,92,35,83,all
investeringer,91,37,79,all
bidra,90,38,88,all
gjennom,87,39,81,all
v<c3><a5>r,86,40,84,all
pst,85,41,63,all
derfor,84,42,79,all
dag,83,43,76,all
samtidig,83,43,81,all
norske,82,45,73,all
energiproduksjon,79,46,71,all
gjelder,79,46,69,all
gass,79,46,74,all
gj<c3><b8>r,78,49,76,all
andre,76,50,73,all
produksjon,76,50,71,all
ren,76,50,72,all
innenfor,74,53,64,all
v<c3><a5>re,71,54,69,all
helt,71,54,70,all
energibruk,71,54,35,all
ta,69,57,66,all
stor,68,58,63,all
land,68,58,66,all
mener,67,60,64,all
