feature,frequency,rank,docfreq,group
p<c3><a5>,526,1,361,all
<c3><a5>,488,2,341,all
norsk,287,3,206,all
ogs<c3><a5>,225,4,195,all
petroleumsn<c3><a6>ringen,224,5,174,all
petroleumsvirksomhet,199,6,135,all
petroleumstilsynet,169,7,86,all
petroleumssektoren,157,8,129,all
petroleumsvirksomheten,139,9,98,all
v<c3><a6>re,129,10,111,all
<e2><80><93>,119,11,96,all
petroleum,102,12,89,all
petroleumsaktivitet,97,13,72,all
viktig,96,14,79,all
m<c3><a5>,91,15,77,all
n<c3><a5>r,90,16,79,all
norge,87,17,81,all
v<c3><a6>rt,82,18,69,all
nye,79,19,74,all
petroleumspolitikk,78,20,66,all
n<c3><a5>,78,20,71,all
b<c3><a5>de,77,22,74,all
stortinget,74,23,55,all
andre,71,24,66,all
kr,71,24,43,all
s<c3><a5>,70,26,66,all
regjeringen,69,27,57,all
petroleumspolitikken,65,28,52,all
pst,60,29,46,all
gjennom,59,30,47,all
sokkel,59,30,47,all
dag,59,30,56,all
innenfor,58,33,52,all
store,54,34,51,all
gjelder,54,34,54,all
petroleumsn<c3><a6>ring,54,34,42,all
godt,53,37,46,all
milj<c3><b8>,52,38,36,all
<c3><a5>r,51,39,47,all
statens,50,40,30,all
n<c3><a6>ring,50,40,46,all
v<c3><a5>r,50,40,46,all
norske,50,40,43,all
petroleumsindustrien,49,44,48,all
olje,48,45,46,all
f<c3><a5>,47,46,43,all
mener,46,47,45,all
omr<c3><a5>der,45,48,34,all
fram,44,49,40,all
petroleumsn<c3><a6>ringa,43,50,33,all
ny,43,50,35,all
st<c3><a5>r,43,50,40,all
kommer,42,53,41,all
mrd,42,53,26,all
fr<c3><a5>,39,55,31,all
n<c3><a6>ringen,39,55,33,all
veldig,39,55,37,all
statsr<c3><a5>den,39,55,35,all
ei,38,59,34,all
omr<c3><a5>dene,37,60,30,all
