institution,term,rate_per_10k
Parliament (Phase 1),carbon neutral / net zero,0.28756252419078415
Parliament (Phase 1),responsible,1.7600809670297997
Parliament (Phase 1),divestment,0
Parliament (Phase 1),balance,1.601425781269367
Parliament (Phase 1),petroleum,3.300358395454
Parliament (Phase 1),extraction,0.8527716234623256
Parliament (Phase 1),oil / olje,7.564216512765628
Parliament (Phase 1),climate / klima,38.027664836953704
Parliament (Phase 1),sustainable / b<c3><a6>rekraft,9.522616461995968
NBIM (Phase 2),carbon neutral / net zero,14.85847355459613
NBIM (Phase 2),responsible,65.59764491518442
NBIM (Phase 2),divestment,30.47253272912476
NBIM (Phase 2),balance,2.336448598130841
NBIM (Phase 2),petroleum,0
NBIM (Phase 2),extraction,0
NBIM (Phase 2),oil / olje,0
NBIM (Phase 2),climate / klima,66.08007579295548
NBIM (Phase 2),sustainable / b<c3><a6>rekraft,28.55597511389946
