docname,from,to,pre,keyword,post,pattern
doc_1,4523,4523,det gitt l<c3><b8>yve til utbygging av TWh ny,fornybar,energiproduksjon fordelt p<c3><a5> TWh vindkraft og TWh vasskraft,fornybar*
doc_7,513,513,snakk om <c3><a5> skape flere arbeidsplasser innenfor de,fornybare,n<c3><a6>ringene og innenfor bioenergi som vi har mange,fornybar*
doc_13,173,173,god veg inn i andre marknader klimavenleg teknologi,fornybar,energi Paradokset er at fallet i oljepris <c3><b2>g,fornybar*
doc_13,462,462,for <c3><a5> vera ein stor energinasjon ogs<c3><a5> i,fornybar-tidsalderen,i 2050<e2><80><93>2060 Tradisjonen styrken og potensialet i maritim,fornybar*
doc_23,39,39,en energimelding som skal sikre konkurransekraften til norsk,fornybar,energi Vi har utlyst konsesjonsrunder som gir tilgang,fornybar*
doc_23,119,119,i v<c3><a5>r Budskapet fra regjeringen var tydelig Norsk,fornybar,energi m<c3><a5> ogs<c3><a5> i fremtiden v<c3><a6>re l<c3><b8>nnsom Den,fornybar*
doc_32,362,362,de lange verdikjedene ved <c3><a5> produsere og foredle,fornybare,naturressurser Vi m<c3><a5> sette inn tiltak vi m<c3><a5>,fornybar*
doc_40,149,149,oss over at n<c3><a6>r all v<c3><a5>r kraftproduksjon er,fornybar,og ikke fossil Vannkraften gir ikke bare lys,fornybar*
doc_40,193,193,og produktutvikling som peker rett inn i et,fornybarsamfunn,hvor vi fortsatt har industri verdiskaping og arbeidsplasser,fornybar*
doc_42,231,231,ledige kunnskapsfylte arbeidskraften til en storstilt satsing p<c3><a5>,fornybar,energi Norge har alle muligheter I motsetning til,fornybar*
doc_42,266,266,i flere ti<c3><a5>r framover Omstillingen fra fossilt til,fornybart,m<c3><a5> komme og kommer Det Kristelig Folkeparti vil,fornybar*
doc_43,41,41,Der har vi industri i verdensklasse vi har,fornybare,ressurser i jord og skog vi har kultur,fornybar*
doc_67,67,67,Det er skogbruk matproduksjon og n<c3><a6>ringer basert p<c3><a5>,fornybar,energi og viljen til <c3><a5> satse p<c3><a5> de,fornybar*
doc_68,50,50,syn skulle v<c3><a6>re kjent som krystallklart at de,fornybare,ressursene g<c3><a5>r foran oljeaktivitet akkurat i de nevnte,fornybar*
doc_68,110,110,det i praksis m<c3><a5> velges mellom fossile og,fornybare,marine ressurser,fornybar*
doc_72,52,52,inneholde en kraftsamling om produksjon og videreforedling av,fornybare,naturressurser alts<c3><a5> et n<c3><a6>ringsliv knyttet til det som,fornybar*
doc_72,65,65,knyttet til det som fotosyntesen skaper nemlig gr<c3><b8>nt,fornybart,karbon <e2><80><93> alts<c3><a5> torsk timotei gran hav jord,fornybar*
doc_72,92,92,Venstre sier at de <c3><b8>nsker flere arbeidsplasser innen,fornybare,n<c3><a6>ringer Senterpartiet sier da Hovedordet for <c3><a5> f<c3><a5>,fornybar*
doc_93,35,35,for de n<c3><a6>ringene som har basert seg p<c3><a5>,fornybare,naturressurser blir det jo lite av det Det,fornybar*
doc_104,321,321,<c3><a5> gj<c3><b8>re Norge til en ledende nasjon p<c3><a5>,fornybar,energi og klimateknologi For eksempel vil en modernisering,fornybar*
doc_105,281,281,til orde for <c3><a5> privatisere Statkraft og i,fornybarfylkene,p<c3><a5> Agder hvor Statkraft er den st<c3><b8>rste akt<c3><b8>ren,fornybar*
doc_107,161,161,kraftprodusent og den ledende akt<c3><b8>ren i markedet for,fornybar,energi i Europa H<c3><b8>yre har i sitt programforslag,fornybar*
doc_122,415,415,<c3><a5> bruka statlege pengar til omstilling i ei,fornybar,og klimavennleg retning er betre enn <c3><a5> putta,fornybar*
doc_128,226,226,oss for framtida og n<c3><a5>r det gjelder forskning,fornybar,energi og overf<c3><b8>ring av kompetanse fra petroleumsn<c3><a6>ringen til,fornybar*
doc_148,73,73,investeringsselskap som skal bidra til <c3><a5> redusere klimagassutslippene,Fornybar,AS hjertebarn for Venstre Vi foresl<c3><a5>r <c3><a5> bevilge,fornybar*
doc_186,68,68,<c3><a5> stimulere til lavere klimagassutslipp mer bruk av,fornybar,energi i transportsektoren under denne regjeringen er blitt,fornybar*
doc_186,94,94,p<c3><a5> elektrifisering og p<c3><a5> <c3><a5> ta i bruk,fornybar,energi og redusere drivstofforbruket i transportsektoren enn Transnova,fornybar*
doc_202,318,318,rammevilk<c3><a5>rene for norsk industri som er basert p<c3><a5>,fornybar,energi og det betyr at Statnetts rolle som,fornybar*
doc_203,259,259,p<c3><a5> <c3><a5> forsyne v<c3><a5>re europeiske naboland med ren,fornybar,energi har ogs<c3><a5> potensial til <c3><a5> v<c3><a6>re et,fornybar*
doc_204,47,47,at vi er n<c3><b8>dt til <c3><a5> produsere mer,fornybar,energi som erstatning for fossile energikilder Norge er,fornybar*
doc_204,68,68,posisjonert Vi har alt i dag en rekordh<c3><b8>y,fornybar,andel og vi har et potensial for <c3><a5>,fornybar*
doc_204,93,93,muligheter til <c3><a5> kunne skape nye arbeidsplasser innenfor,fornybar,energi og fornybar energiteknologi Utenlandskabler er et sentralt,fornybar*
doc_204,96,96,kunne skape nye arbeidsplasser innenfor fornybar energi og,fornybar,energiteknologi Utenlandskabler er et sentralt virkemiddel i dette,fornybar*
doc_204,189,189,vi skal kunne realisere potensialet vi har innenfor,fornybar,energi Samtidig er det viktig <c3><a5> minne om,fornybar*
doc_205,707,707,viktig del av Norges mulighet til <c3><a5> eksportere,fornybar,kraft misforst<c3><a5> meg ikke <e2><80><93> men denne dobbeltheten,fornybar*
