docname,from,to,pre,keyword,post,pattern
doc_9,197,197,fint Og det er flott med penger til,karbonfangst,Opposisjonen fremmer i tillegg en rekke gode forslag,karbonfangst*
doc_23,274,274,skipsfart og forsterket innsatsen med <c3><a5> utvikle fullskala,karbonfangst,og lagring De siste <c3><a5>rene har ogs<c3><a5> v<c3><a6>rt,karbonfangst*
doc_551,259,259,p<c3><a5> nullutslippsteknologi i veitransporten biodrivstoff klimavennlig skipsfart og,karbonfangst,og lagring I klimapakken v<c3><a5>r legger vi opp,karbonfangst*
doc_551,487,487,for s<c3><a5> vidt st<c3><b8>ttepartiene er n<c3><a5>r det gjelder,karbonfangst,og lagring Vi bruker mer penger enn regjeringen,karbonfangst*
doc_552,379,379,for fremtiden <e2><80><93> n<c3><a5>r vi forsterker satsingen p<c3><a5>,karbonfangst,og lagring p<c3><a5> biodrivstoff og med forpliktelsen til,karbonfangst*
doc_552,1428,1428,bilprodusentene som kappes om <c3><a5> utvikle nye modeller,Karbonfangst,og lagring er et annet omr<c3><a5>de hvor Norges,karbonfangst*
doc_555,736,736,<c3><a5> lykkes med prosjekter som kan bidra til,karbonfangst,og lagring Da skal jeg i et nytt,karbonfangst*
doc_556,338,338,industripolitikken er det det samme Alle investeringsbeslutninger for,karbonfangst,og lagring er skj<c3><b8>vet til etter valget Problemet,karbonfangst*
doc_560,546,546,p<c3><a5> det enkelte prosjekts risiko I tillegg til,karbonfangstprosjektene,m<c3><a5> det jobbes med transport og lagring Vi,karbonfangst*
doc_561,598,598,langt S<c3><a5> vil jeg helt kort bare nevne,karbonfangst,og lagring Karbonfangst og lagring er helt grunnleggende,karbonfangst*
doc_561,601,601,jeg helt kort bare nevne karbonfangst og lagring,Karbonfangst,og lagring er helt grunnleggende n<c3><b8>dvendig om vi,karbonfangst*
doc_575,406,406,de tydelighetene har ikke kommet N<c3><a5>r det gjelder,karbonfangst,har katta kommet ut av sekken i l<c3><b8>pet,karbonfangst*
doc_916,99,99,er opptatt av er <c3><a5> ivareta CCS alts<c3><a5>,karbonfangst,og testsenteret p<c3><a5> Mongstad slik at de kan,karbonfangst*
doc_916,131,131,kan f<c3><a5> ned klimagassutslippene gjennom <c3><a5> jobbe med,karbonfangst,og lagring Der er testsenteret p<c3><a5> Mongstad viktig,karbonfangst*
