docname,from,to,pre,keyword,post,pattern
doc_1,624,624,tett <c3><85>ret var eit vendepunkt for det globale,klimasamarbeidet,Landa i verda samla seg om ein ny,klima*
doc_1,657,657,ein dialog med EU om felles oppfylling av,klimam<c3><a5>la,for I kom det totalt asyls<c3><b8>kjarar til Noreg,klima*
doc_1,2789,2789,kan hindre framtidige epidemiar og pandemiar Det gr<c3><b8>ne,klimafondet,vert ein sentral kanal for finansiering av utsleppsreduksjonar,klima*
doc_1,2799,2799,ein sentral kanal for finansiering av utsleppsreduksjonar og,klimatilpassing,i utviklingsland dei komande <c3><a5>ra Noreg har gitt,klima*
doc_1,3189,3189,fr<c3><a5> tropisk skog er omfatta av det nye,klimaregimet,Vedtaket styrkjer den globale innsatsen for <c3><a5> redusere,klima*
doc_1,3213,3213,har <c3><a5> seie for at vi skal n<c3><a5>,klimam<c3><a5>let,Den norske innsatsen gjennom klima og skoginitiativet har,klima*
doc_1,3218,3218,vi skal n<c3><a5> klimam<c3><a5>let Den norske innsatsen gjennom,klima,og skoginitiativet har vore ei viktig drivkraft bak,klima*
doc_1,3231,3231,ei viktig drivkraft bak vedtaket i Paris Under,klimatoppm<c3><b8>tet,kunngjorde regjeringa at regnskoginitiativet vert forlengt til Storbritannia,klima*
doc_1,3820,3820,terreng og h<c3><b8>gdedata Det har stor verdi for,klimatilpassingsarbeidet,som kunnskapsgrunnlag for beredskap ras og flaumsikring for,klima*
doc_1,3855,3855,samarbeid mellom kyststatane Noreg og Russland og gode,klimatiske,forhold er bakgrunnen for at vi har den,klima*
doc_1,4091,4091,nye lover og forskrifter vert fremja Dei globale,klima,og milj<c3><b8>utfordringane krev omlegging til meir berekraftig produksjon,klima*
doc_1,4203,4203,f<c3><b8>lgjast som nedkjemping av arbeidslivskriminalitet og omsyn til,klima,og milj<c3><b8> Reiselivsn<c3><a6>ringa er viktig for Noreg og,klima*
doc_1,4545,4545,energipolitikken mot Hovudbodskapen i meldinga er at forsyningssikkerheit,klima,og n<c3><a6>ringsutvikling m<c3><a5> sj<c3><a5>ast i samanheng for <c3><a5>,klima*
doc_1,4558,4558,i samanheng for <c3><a5> sikre ei effektiv og,klimavennleg,energiforsyning I meldinga la regjeringa grunnlaget for framleis,klima*
doc_1,4572,4572,grunnlaget for framleis innsats gjennom Enova Satsinga p<c3><a5>,klimaomr<c3><a5>det,vert styrkt Overordna styring og langsiktig finansiering skal,klima*
doc_2,113,113,forutse <c3><98>konomiske og teknologiske omveltninger veves sammen med,klimaendringer,og utenrikspolitiske spenninger Situasjonen i Europa er krevende,klima*
doc_3,445,445,noen gang Vi blir flere eldre Utslipp av,klimagasser,skal ned Byene v<c3><a5>re vokser Vi vil oppleve,klima*
doc_3,1088,1088,Vi vet at vi skal kutte utslippene av,klimagasser,i Norge med pst i l<c3><b8>pet av <c3><a5>r,klima*
doc_3,1224,1224,H<c3><b8>yre ikke i den <c3><b8>konomiske politikken ikke i,klimapolitikken,ikke i landbrukspolitikken ikke i likestillingspolitikken ikke i,klima*
doc_4,805,805,folks arbeidsinnsats som gj<c3><b8>r at vi kan forsterke,klimateknologifondet,og v<c3><a6>re det landet i verden som selger,klima*
doc_6,93,93,atomv<c3><a5>pen Konfliktl<c3><b8>ysing og atomnedrusting er tvingande n<c3><b8>dvendig Fattigdom,klima<c3><b8>ydeleggingar,og konflikt gjer millionar til internt fordrivne til,klima*
doc_6,134,134,av norsk innsats for fred og forsoning forpliktande,klimatiltak,og ein aktiv utviklingspolitikk for fattigdomsnedkjemping og internasjonal,klima*
doc_7,409,409,<c3><a5> lykkes Det er mye frykt knyttet til,klimautfordringene,Og det er ingen problemer <c3><a5> tegne skremselsbilder,klima*
doc_7,1040,1040,som er opptatt av en bedre milj<c3><b8> og,klimapolitikk,Det er ogs<c3><a5> enkelte andre partier som er,klima*
doc_8,1190,1190,kloden til n<c3><a5> Og s<c3><a5> f<c3><b8>rer regjeringen en,klimapolitikk,som suverent overser dette som overser behovet for,klima*
doc_8,1234,1234,vi st<c3><a5>r overfor i transportsektoren Hvorfor er ikke,klimaambisjonene,st<c3><b8>rre Hvorfor kan vi ikke g<c3><a5> sammen om,klima*
doc_8,1269,1269,norsk olje og gass kan redde verden fra,klimagassutslippene,Med denne regjeringen er det ikke lagt fram,klima*
doc_9,17,17,at Paris-avtalen gir oss en ny ramme for,klimaarbeidet,og at alle land ogs<c3><a5> Norge m<c3><a5> f<c3><b8>lge,klima*
doc_9,97,97,fra regjeringen om hvordan vi skal f<c3><a5> ned,klimagassutslippene,med pst de neste <c3><a5>rene Vi behandler ingen,klima*
doc_9,170,170,bra at regjeringen har lagt fram en ny,klimalov,selv om den er daff forel<c3><b8>pig Det kommer,klima*
doc_9,527,527,Det er stadig mindre rom sannsynligvis i de,klimaforpliktelsene,vi allerede har inng<c3><a5>tt for <c3><a5> <c3><a5>pne nye,klima*
doc_9,573,573,at det er mindre energikrevende og dermed mindre,klimaforurensende,<c3><a5> produsere olje i Midt<c3><b8>sten enn i store,klima*
doc_9,618,618,Gr<c3><b8>nne <c3><b8>nsker at vi n<c3><a5> f<c3><a5>r et reelt,klimaregnskap,for de faktiske utslippene som en samlet norsk,klima*
doc_9,981,981,oljevirksomhet vil alltid v<c3><a6>re en velsignelse for jordas,klima,Her og n<c3><a5> er dette det reelle framtidsperspektivet,klima*
doc_9,1216,1216,da alt snakket om norsk natur milj<c3><b8> og,klima,bare trangsynt <c3><a9>nsakspolitikk og manglende overblikk Nei det,klima*
doc_9,1307,1307,til Paris-avtalen og EU-m<c3><a5>let om pst kutt i,klimagassutslippene,ber regjeringen trekke utvinningstillatelsene etter olje og gass,klima*
doc_9,1334,1334,ber regjeringen s<c3><b8>rge for at statsbudsjettet for reduserer,klimagassutslippene,i tr<c3><a5>d med m<c3><a5>let om at de skal,klima*
doc_12,242,242,bidra til omstilling forskning og innovasjon n<c3><a6>ringsrettet forskning,klimaforskning,vekstfremmende skatteletter <e2><80><93> og rekordsatsing p<c3><a5> samferdsel N<c3><a5>,klima*
doc_13,100,100,verda i fellesskap skal lukkast med <c3><a5> l<c3><b8>ysa,klimaproblema,Me har eit n<c3><a6>ringsliv med innovasjonsvilje evne og,klima*
doc_13,171,171,er p<c3><a5> god veg inn i andre marknader,klimavenleg,teknologi fornybar energi Paradokset er at fallet i,klima*
doc_14,41,41,deles men der det avgj<c3><b8>rende vil v<c3><a6>re om,klimakrisen,behovet for velferd og behovet for arbeid m<c3><b8>tes,klima*
doc_19,236,236,la tankene fly hen til poseavgift flypassasjeravgift flyktningforlik,klimasp<c3><b8>rsm<c3><a5>l,trygdeoppgj<c3><b8>r nikab og en rekke andre saker hvor,klima*
doc_22,34,34,Arbeidsledigheten har <c3><b8>kt betydelig jobbveksten er betydelig redusert,klimatiltakene,uteblir og klimagassutslippene <c3><b8>ker Det er bare p<c3><a5>,klima*
doc_22,37,37,betydelig jobbveksten er betydelig redusert klimatiltakene uteblir og,klimagassutslippene,<c3><b8>ker Det er bare p<c3><a5> to omr<c3><a5>der som,klima*
doc_22,58,58,for v<c3><a5>r framtid Regjeringen har n<c3><a5>r det gjelder,klima,inntatt en hvileposisjon og det <c3><a5>ret etter at,klima*
doc_22,78,78,Man m<c3><a5> lete godt om man skal finne,klimainitiativ,fra regjeringen og det eneste synlige beviset Stortinget,klima*
doc_22,104,104,med en anbefaling om <c3><a5> inng<c3><a5> i EUs,klima,rammeverk noe Stortinget sluttet seg nesten enstemmig til,klima*
doc_22,139,139,for ikke <c3><a5> gj<c3><b8>re noe Derfor fremmet Arbeiderpartiet,klimaforslag,i februar Mange av forslagene ble vedtatt om,klima*
doc_22,247,247,v<c3><a6>re bra men de fleste eksperter sp<c3><a5>r <c3><b8>kte,klimagassutslipp,som en direkte konsekvens av dette Det st<c3><a5>r,klima*
doc_22,286,286,n<c3><a5> da m<c3><a5> det bli enklere <c3><a5> foreta,klimariktige,valg og mindre l<c3><b8>nnsomt <c3><a5> slippe ut klimagasser,klima*
doc_22,294,294,klimariktige valg og mindre l<c3><b8>nnsomt <c3><a5> slippe ut,klimagasser,Regjeringen er dessverre motivert av det motsatte Vi,klima*
doc_23,27,27,har gitt et taktskifte ogs<c3><a5> i energi og,klimapolitikken,Vi har levert en energimelding som skal sikre,klima*
doc_23,139,139,om energimeldingen viser at avstanden i energi og,klimapolitikken,mellom partiene som utgj<c3><b8>r dagens flertall ikke er,klima*
doc_23,206,206,st<c3><a5>ende som et viktig dokument fra denne stortingsperioden,Klimatoppm<c3><b8>tet,i Paris og gjennombruddet med avtalen som ble,klima*
doc_23,249,249,avtalen Dagens flertall har lagt grunnlaget for en,klimavennlig,utvikling i v<c3><a5>re budsjettavtaler som har styrket Enova,klima*
doc_23,464,464,blir ogs<c3><a5> viktig for retningen i energi og,klimapolitikken,Debatten i dag har gjort det tydelig at,klima*
doc_23,579,579,Vi h<c3><b8>rer et Arbeiderparti som inviterer til et,klimaforlik,uten <c3><a5> ville si noe som helst om,klima*
doc_23,632,632,tid f<c3><b8>r valget i p<c3><a5> <c3><a5> advare mot,klimakaos,p<c3><a5> borgerlig side I dag st<c3><a5>r vi med,klima*
doc_23,670,670,er i ferd med <c3><a5> utvikle seg et,klimapolitisk,kaos p<c3><a5> r<c3><b8>d-gr<c3><b8>nn side og det er det,klima*
doc_24,14,14,sa i sitt innlegg at det var et,klimapolitisk,hvileskj<c3><a6>r fra regjeringen Jeg skal definitivt ikke forsvare,klima*
doc_24,31,31,regjeringen men jeg skal st<c3><a5> opp for den,klimapolitikken,som et borgerlig flertall i Stortinget st<c3><a5>r for,klima*
doc_24,159,159,for i <c3><a5>r er det viktige milj<c3><b8> og,klimatiltak,med satsing b<c3><a5>de p<c3><a5> kollektivtrafikk s<c3><a6>rlig i de,klima*
