docname,from,to,pre,keyword,post,pattern
doc_1,2116,2116,Regjeringa prioriterer tiltak som fremjar arbeid aktivitet og,omstilling,Som ein del av tiltakspakken for auka sysselsetjing,omstilling*
doc_1,4027,4027,for <c3><a5> leggje til rette for innovasjon og,omstilling,i n<c3><a6>ringslivet L<c3><b8>yvingane til verkemiddelapparatet er styrkte kraftig,omstilling*
doc_2,85,85,og uro som f<c3><b8>lger med en endringens og,omstillingens,tid Forandringene rundt oss er store de skjer,omstilling*
doc_4,364,364,til <c3><a5> styrke konkurransekraften og st<c3><b8>tte opp om,omstillingen,Norge skal igjennom Denne politikken fungerer Vi har,omstilling*
doc_5,52,52,g<c3><a5> i gang med et arbeid knyttet til,omstilling,og nytenkning s<c3><b8>rge for <c3><a5> effektivisere offentlig sektor,omstilling*
doc_5,442,442,mrd kr p<c3><a5> S<c3><b8>r og Vestlandet knyttet til,omstilling,og det <c3><a5> skape nye arbeidsplasser Man har,omstilling*
doc_7,571,571,et bedre samfunn Men skal vi klare den,omstillingen,m<c3><a5> vi tenke b<c3><a5>de makro og mikro Da,omstilling*
doc_7,624,624,sm<c3><a5> knepene som gj<c3><b8>r at vi f<c3><a5>r den,omstillingen,vi trenger i Norge Det har vi gjort,omstilling*
doc_12,236,236,samferdselsinvesteringer og med tiltak som vil bidra til,omstilling,forskning og innovasjon n<c3><a6>ringsrettet forskning klimaforskning vekstfremmende skatteletter,omstilling*
doc_13,119,119,kan overg<c3><a5> og for n<c3><a6>ringslivet er ikkje honn<c3><b8>rorda,omstilling,gr<c3><b8>n vekst robotisering og delings<c3><b8>konomi noko nytt N<c3><a6>ringslivet,omstilling*
doc_14,354,354,trygghet er avgj<c3><b8>rende for en r<c3><b8>d og rettferdig,omstilling,til et gr<c3><b8>nt skifte Store forskjeller er gift,omstilling*
doc_15,437,437,f<c3><a5> jobb forsvinner og tryggheten i jobb svekkes,Omstillingen,ble st<c3><b8>rre enn forventet sier Erna Solberg Men,omstilling*
doc_15,446,446,ble st<c3><b8>rre enn forventet sier Erna Solberg Men,omstillingen,har ikke blitt st<c3><b8>rre Det er arbeidsl<c3><b8>sheten som,omstilling*
doc_15,459,459,Det er arbeidsl<c3><b8>sheten som har blitt mye st<c3><b8>rre,Omstilling,er at folk mister en jobb og s<c3><a5>,omstilling*
doc_15,505,505,Vestlandet nesten er doblet er det ikke fordi,omstillingen,g<c3><a5>r raskere enn f<c3><b8>r Det er fordi omstillingen,omstilling*
doc_15,513,513,omstillingen g<c3><a5>r raskere enn f<c3><b8>r Det er fordi,omstillingen,nesten har stoppet opp Sp<c3><b8>rsm<c3><a5>let er Kunne vi,omstilling*
doc_15,587,587,burde ha satt inn mye kraftigere virkemidler for,omstilling,i industrien overf<c3><b8>ring av kunnskap og teknologi fra,omstilling*
doc_15,607,607,sektorer et godt permitteringsregelverk og st<c3><b8>tte til gr<c3><b8>nn,omstilling,Vi burde ha styrket muligheten for at arbeidsl<c3><b8>se,omstilling*
doc_16,206,206,forutsetning for at vi som samfunn skal v<c3><a6>re,omstillingsdyktig,i m<c3><b8>te med endringer her hjemme og i,omstilling*
doc_17,212,212,som prioriterte ned <c3><a5> ruste Norge for den,omstillingen,vi visste ville komme men i stedet valgte,omstilling*
doc_17,270,270,hyggelige oppslag men det forbereder oss ikke til,omstilling,Samtidig skr<c3><b8>t de <e2><80><93> og det gj<c3><b8>r de,omstilling*
