docname,from,to,pre,keyword,post,pattern
doc_1,54,54,ned Det gir l<c3><a5>gare investeringar og sysselsetjing i,petroleumsrelaterte,n<c3><a6>ringar noko som igjen trekkjer ned veksten i,petroleum*
doc_1,75,75,auka med pst i I utgjorde verdiskapinga i,petroleumssektoren,pst av Noregs BNP og statens netto kontantstraum,petroleum*
doc_1,1450,1450,forvaltning legg til rette for at inntektene fr<c3><a5>,petroleumsressursane,kan kome b<c3><a5>de dagens og framtidige generasjonar til,petroleum*
doc_1,1724,1724,p<c3><a5> mange omr<c3><a5>de innanfor skipsfart og maritim n<c3><a6>ring,petroleum,og energi og fiskeri og havbruk I stod,petroleum*
doc_1,4436,4436,p<c3><a5> fleire ti<c3><a5>r Prosjektet sikrar betydeleg verdiskaping fr<c3><a5>,petroleumssektoren,ogs<c3><a5> i tida framover og bidreg til sysselsetjing,petroleum*
doc_9,733,733,tredje at vi m<c3><a5> reformere offentlig sektor fordi,petroleumsvirksomheten,<c2><ab> har gitt oss vind i seilene <c2><bb>,petroleum*
doc_11,607,607,for det fyrste at det er f<c3><b8>reseielegheit for,petroleumsn<c3><a6>ringa,fordi ho kjem til <c3><a5> fortsetja <c3><a5> vera,petroleum*
doc_19,310,310,offentlige utgiftene og forsyne seg enda mer av,petroleumsfondet,<c2><bb> Siden regjeringen tiltr<c3><a5>dte har arbeidsledigheten <c3><b8>kt jevnt,petroleum*
doc_24,639,639,det er gjort lite er norsk politikk overfor,petroleumssektoren,Petroleumspolitikken m<c3><a5> bringes i samsvar med de m<c3><a5>lsettingene,petroleum*
doc_24,640,640,er gjort lite er norsk politikk overfor petroleumssektoren,Petroleumspolitikken,m<c3><a5> bringes i samsvar med de m<c3><a5>lsettingene vi,petroleum*
doc_24,681,681,dag Tre ting m<c3><a5> ligge til grunn i,petroleumspolitikken,Vi skal ikke inn i s<c3><a5>rbare omr<c3><a5>der Vi,petroleum*
doc_41,28,28,sterk medvind spesielt som f<c3><b8>lge av veksten i,petroleumsrettet,industri Samtidig har vi lenge v<c3><a6>rt klar over,petroleum*
doc_41,103,103,Likevel skal ingen v<c3><a6>re i tvil om at,petroleumsn<c3><a6>ringen,kommer til <c3><a5> v<c3><a6>re veldig viktig i norsk,petroleum*
doc_41,609,609,Bedriftene m<c3><a5> i st<c3><b8>rre grad finne l<c3><b8>nnsomhet utenfor,petroleumssektoren,Samtidig vil ny teknologi prege og endre industribedriftene,petroleum*
