topic,topic_label,estimate,std_err,t_stat,p_value,ci_lo,ci_hi,sig
1,T1: Petroleum fiscal regime,-0.00940120112275283,0.003529301052876513,-2.6637572091194937,0.0077354772754878775,-0.016318631186390795,-0.002483771059114865,**
2,T2: Welfare / social services,-0.04996612343433516,0.004554491734052247,-10.9707353425975,6.723123222093072e-28,-0.05889292723307756,-0.04103931963559276,***
3,T3: Parliamentary procedure,0.003179113811735417,0.004414157956861533,0.7202084390282598,0.47140773968258,-0.005472635783713186,0.011830863407184021,
4,T4: Energy transition & industry,-0.015080769550636837,0.004307058854294141,-3.501407819306044,4.6413406201524136e-4,-0.023522604905053354,-0.00663893419622032,***
5,T5: Adversarial floor debate,0.08331828015637066,0.0049446480655123345,16.850194200370805,3.9084275745790465e-63,0.07362676994796649,0.09300979036477483,***
6,T6: Nynorsk register,-0.023649189162371853,0.0064957267124104235,-3.6407303153916324,2.7276788467805004e-4,-0.036380813518696285,-0.010917564806047423,***
7,T7: Climate policy & emissions,0.054912731806453084,0.004323518435483165,12.700936199504474,8.982686746507853e-37,0.046438635672906084,0.06338682794000008,***
8,T8: Transport & infrastructure,0.024402925649642183,0.003945816552633369,6.184505874546067,6.389068344594057e-10,0.01666912520648078,0.03213672609280359,***
9,T9: Foreign policy & geopolitics,-0.03539426086881755,0.004208590701087479,-8.410003106187506,4.460623514354086e-17,-0.043643098642949005,-0.02714542309468609,***
10,T10: Nature & biodiversity,-0.03219743100532533,0.003886818818239197,-8.283748873046616,1.29223875917845e-16,-0.03981559588907416,-0.0245792661215765,***
