topic,topic_label,estimate,std_err,t_stat,p_value,ci_lo,ci_hi,sig
1,T1: Petroleum fiscal regime,0.005130886244973738,0.003342529947688507,1.5350307477490068,0.12479708203478546,-0.001420472452495736,0.011682244942443212,
2,T2: Welfare / social services,-0.004393261617277518,0.00407848085270692,-1.077180885711815,0.2814165524796815,-0.01238708408858308,0.0036005608540280436,
3,T3: Parliamentary procedure,0.05537839204824904,0.00414987663828172,13.34458753240886,2.149271259319828e-40,0.04724463383721687,0.06351215025928121,***
4,T4: Energy transition & industry,0.07742736191973976,0.004129044411728298,18.75188401941429,1.3995514254844302e-77,0.06933443487275229,0.08552028896672723,***
5,T5: Adversarial floor debate,-0.030442224576299727,0.004091610953181131,-7.440156193890236,1.0594084465918699e-13,-0.038461782044534744,-0.02242266710806471,***
6,T6: Nynorsk register,-0.06662977362342962,0.005851913668204406,-11.385980279485944,6.49179017516537e-30,-0.07809952441311026,-0.05516002283374898,***
7,T7: Climate policy & emissions,0.034489616671056274,0.004011818554312267,8.597003130658463,8.970379635975906e-18,0.02662645230460423,0.04235278103750832,***
8,T8: Transport & infrastructure,-0.007903383916912473,0.0036598137273839764,-2.159504418975385,0.030826639580260936,-0.015076618822585066,-7.301490112398791e-4,*
9,T9: Foreign policy & geopolitics,-0.03232781257933076,0.003871498964445525,-8.35020566354736,7.396495730342536e-17,-0.03991595054964399,-0.024739674609017534,***
10,T10: Nature & biodiversity,-0.03084026067406932,0.00381992870439172,-8.073517350890002,7.338448911910791e-16,-0.03832732093467709,-0.023353200413461547,***
