term_1,term_2,term_3,term_4,term_5,term_6,term_7,term_8,term_9,term_10,topic
driftsutgifter,skatter,<c3><b8>kes,overslagsbevilgning,reduseres,skattene,kr,overf<c3><b8>res,oljepenger,skatt,Topic_1
elever,elevene,videreg<c3><a5>ende,skolen,skole,arbeidslivet,helsetjenesten,l<c3><a6>rere,menn,sykehusene,Topic_2
departementet,bortreist,loven,vurderinger,nim,riksrevisjonens,vurdering,besvart,h<c3><b8>ring,h<c3><b8>yesterett,Topic_3
havvind,vannkraft,gassn<c3><a6>ringen,sokkel,mineraler,industri,havbruksn<c3><a6>ringen,fornybar,gass,vannkraften,Topic_4
egentlig,synes,r<c3><b8>dt,sier,h<c3><b8>re,ganske,innlegg,tror,skj<c3><b8>nner,r,Topic_5
fr<c3><a5>,noreg,meir,<c3><b2>g,fleire,kjem,d<c3><a5>,auka,gjer,berre,Topic_6
utslippene,utslipp,biodrivstoff,utslippskutt,palmeolje,klimapolitikken,elvestuen,co,enova,klimapolitikk,Topic_7
byene,fylkeskommunene,motorveier,jernbanen,transportplan,bompenger,veiene,trondheim,sykkel,tog,Topic_8
sikkerhetsr<c3><a5>det,utenrikspolitikk,nordiske,nordisk,e<c3><98>s,e<c3><98>s-avtalen,russlands,norden,ukrainas,russland,Topic_9
skogen,ulv,jordbruksoppgj<c3><b8>ret,myhrvold,rovvilt,ole,kj<c3><b8>tt,matproduksjon,arter,bestandsm<c3><a5>let,Topic_10
