topic,topic_label,estimate,std_err,t_stat,p_value,ci_lo,ci_hi,sig
1,T1: Petroleum fiscal regime,-0.0029142317378231756,0.001362517247606039,-2.1388586037670496,0.03246300465728403,-0.005584765543131012,-2.4369793251533944e-4,*
2,T2: Welfare / social services,-0.009613745972550292,0.0018734077101383488,-5.131689124862376,2.9069039610680913e-7,-0.013285625084421455,-0.005941866860679128,***
3,T3: Parliamentary procedure,-0.0022473113558262683,0.0017223509780629424,-1.3047929164552323,0.19198311882401978,-0.005623119272829635,0.0011284965611770988,
4,T4: Energy transition & industry,0.008841087984678789,0.001626222278661024,5.436580288371304,5.5150406801325505e-8,0.005653692318503182,0.012028483650854396,***
5,T5: Adversarial floor debate,-0.0048790217573771045,0.0018186743763424576,-2.6827351948452267,0.007310174575606184,-0.008443623535008321,-0.0013144199797458875,**
6,T6: Nynorsk register,0.009688471252284262,0.0023022930227447405,4.20818338785299,2.589094167480865e-5,0.005175976927704571,0.014200965576863952,***
7,T7: Climate policy & emissions,-0.006966944069091165,0.0017001750025248336,-4.097780557145559,4.1929405652273915e-5,-0.01029928707403984,-0.0036346010641424916,***
8,T8: Transport & infrastructure,-0.0021589445917025896,0.001421578151113173,-1.518695676359417,0.12885990678979065,-0.004945237767884409,6.273485844792291e-4,
9,T9: Foreign policy & geopolitics,0.013974500575284581,0.001727389996988659,8.089951082063797,6.416775577104546e-16,0.01058881618118681,0.017360184969382353,***
10,T10: Nature & biodiversity,-0.0036965252293475674,0.0015558911788522668,-2.375825044573092,0.017522080475195795,-0.00674607193989801,-6.469785187971245e-4,*
