speaker_name,party,n_speeches,n_petro,n_klima,petro_rate,klima_rate,petro_klima_r
Lars Haltbrekken,SV,421,28,298,6.65083135391924,70.78384798099762,0.09395973154362416
Statsråd Terje Aasland,Statsr<c3><a5>d,362,39,139,10.773480662983426,38.39779005524862,0.2805755395683453
Ola Elvestuen,V,349,45,258,12.893982808022923,73.92550143266476,0.1744186046511628
Une Bastholm,MDG,276,14,216,5.072463768115942,78.26086956521739,0.06481481481481481
Statsminister Erna Solberg,Statsr<c3><a5>d,234,6,131,2.564102564102564,55.98290598290598,0.04580152671755725
Statsminister Jonas Gahr Støre,Statsr<c3><a5>d,186,3,106,1.6129032258064515,56.98924731182796,0.02830188679245283
Statsråd Jan Christian Vestre,Statsr<c3><a5>d,184,4,63,2.1739130434782608,34.23913043478261,0.06349206349206349
Rasmus Hansson,MDG,174,9,130,5.172413793103448,74.71264367816092,0.06923076923076923
Ole André Myhrvold (Sp),Sp,164,17,122,10.365853658536585,74.39024390243902,0.13934426229508196
Terje Halleland (FrP),FrP,164,47,105,28.65853658536585,64.02439024390245,0.44761904761904764
Kari Elisabeth Kaski,SV,163,12,111,7.361963190184049,68.09815950920245,0.10810810810810811
Statsråd Trygve Slagsvold Vedum,Statsr<c3><a5>d,161,5,58,3.1055900621118013,36.024844720496894,0.08620689655172414
Bjørnar Moxnes,R,160,8,70,5,43.75,0.11428571428571428
Audun Lysbakken,SV,159,1,127,0.628930817610063,79.87421383647799,0.007874015748031496
Statsråd Espen Barth Eide,Statsr<c3><a5>d,156,1,117,0.641025641025641,75,0.008547008547008548
Sofie Marhaug,R,151,9,80,5.960264900662252,52.980132450331126,0.1125
Torgeir Knag Fylkesnes,SV,151,33,78,21.85430463576159,51.65562913907284,0.4230769230769231
Ketil Kjenseth,V,142,6,99,4.225352112676056,69.71830985915493,0.06060606060606061
Arne Nævra,SV,140,3,106,2.142857142857143,75.71428571428571,0.02830188679245283
Statsråd Siv Jensen,Statsr<c3><a5>d,138,12,48,8.695652173913043,34.78260869565217,0.25
Åsmund Aukrust,A,136,0,129,0,94.85294117647058,0
Marit Arnstad (Sp),Sp,134,3,79,2.2388059701492535,58.95522388059702,0.0379746835443038
Espen Barth Eide,A,132,15,81,11.363636363636363,61.36363636363637,0.18518518518518517
Statsråd Vidar Helgesen,Statsr<c3><a5>d,128,6,100,4.6875,78.125,0.06
Marius Arion Nilsen (FrP),FrP,126,5,84,3.968253968253968,66.66666666666666,0.05952380952380952
Per Espen Stoknes,MDG,125,13,84,10.4,67.2,0.15476190476190477
Statsråd Jon-Ivar Nygård,Statsr<c3><a5>d,124,0,109,0,87.90322580645162,0
Statsråd Ola Elvestuen,Statsr<c3><a5>d,121,17,103,14.049586776859504,85.12396694214877,0.1650485436893204
Statsråd Jan Tore Sanner,Statsr<c3><a5>d,120,11,62,9.166666666666666,51.66666666666667,0.1774193548387097
Terje Aasland,A,120,2,77,1.6666666666666667,64.16666666666667,0.025974025974025976
Statsråd Sveinung Rotevatn,Statsr<c3><a5>d,117,20,95,17.094017094017094,81.19658119658119,0.21052631578947367
Statsråd Terje Søviknes,Statsr<c3><a5>d,117,35,36,29.914529914529915,30.76923076923077,0.9722222222222222
Statsråd Andreas Bjelland Eriksen,Statsr<c3><a5>d,115,3,83,2.608695652173913,72.17391304347827,0.03614457831325301
Sveinung Rotevatn,V,111,3,74,2.7027027027027026,66.66666666666666,0.04054054054054054
Alfred Jens Bjørlo,V,108,4,78,3.7037037037037033,72.22222222222221,0.05128205128205128
Karin Andersen,SV,107,4,87,3.7383177570093453,81.30841121495327,0.04597701149425287
Sylvi Listhaug (FrP),FrP,105,5,55,4.761904761904762,52.38095238095239,0.09090909090909091
Mona Fagerås,SV,102,5,91,4.901960784313726,89.2156862745098,0.054945054945054944
Statsråd Tina Bru,Statsr<c3><a5>d,100,22,43,22,43,0.5116279069767442
Stefan Heggelund,H,99,13,79,13.131313131313133,79.7979797979798,0.16455696202531644
Heikki Eidsvoll Holmås,SV,92,4,64,4.3478260869565215,69.56521739130434,0.0625
Nikolai Astrup,H,89,12,55,13.48314606741573,61.79775280898876,0.21818181818181817
Statsråd Torbjørn Røe Isaksen,Statsr<c3><a5>d,88,7,37,7.954545454545454,42.04545454545455,0.1891891891891892
Heidi Nordby Lunde,H,84,4,21,4.761904761904762,25,0.19047619047619047
Jonas Gahr Støre,A,84,1,44,1.1904761904761905,52.38095238095239,0.022727272727272728
Statsråd Kjell-Børge Freiberg,Statsr<c3><a5>d,82,31,31,37.80487804878049,37.80487804878049,1
Statsråd Marte Mjøs Persen,Statsr<c3><a5>d,82,17,30,20.73170731707317,36.58536585365854,0.5666666666666667
Mathilde Tybring-Gjedde,H,81,2,61,2.4691358024691357,75.30864197530865,0.03278688524590164
Per Olaf Lundteigen (Sp),Sp,81,5,39,6.172839506172839,48.148148148148145,0.1282051282051282
Birgit Oline Kjerstad,SV,80,1,68,1.25,85,0.014705882352941176
